V1,V2,V3,V4,V5,
1,4.958077588,-3.265524806,12.28259575,-9.205571807,1
2,1.203644083,-3.941877984,12.47587081,-9.919943466,1
3,3.111368916,-4.922094042,7.824921272,-8.662939867,1
4,3.531845825,-2.790346434,7.608615675,-10.34583757,1
5,3.332050197,-4.661942339,10.60241371,-10.58050239,1
6,3.120406587,-4.7884894,11.93742832,-8.852546594,1
7,1.736537259,-3.224845489,7.20606714,-9.083424265,1
8,3.598795045,-3.206913302,9.667297731,-7.679712345,1
9,2.242321129,-3.17129659,10.70889467,-8.280274914,1
10,3.312816634,-5.799666886,6.360005362,-9.08881445,1
11,3.06023676,-4.858023433,10.80783933,-8.860158426,1
12,1.377448727,-4.915508556,10.85869633,-7.810847305,1
13,1.92406635,-3.862144446,10.28381063,-8.473151132,1
14,4.557662041,-3.520360216,8.100979417,-8.320795036,1
15,2.31519794,-2.687374116,8.868441937,-8.139595283,1
16,3.538120949,-3.910742918,9.994972186,-8.538836302,1
17,2.908735903,-4.376476577,9.385953827,-9.017910952,1
18,1.782693921,-6.567003615,9.972137384,-8.800807066,1
19,3.598982972,-2.254292574,11.03901079,-8.57998585,1
20,5.621531085,-4.229552098,10.16574679,-10.06095503,1
21,3.31670123,-2.16542866,10.21697731,-9.242434906,1
22,?,-4.420414413,9.711023667,-6.669394717,1
23,2.02912054,-5.19872766,9.563587528,-8.529249694,1
24,3.235361826,-3.470241533,8.821738623,-8.426797648,1
25,2.987449049,-3.188720628,8.169903113,-8.875807929,1
26,3.31721583,-3.765455217,11.85889274,-8.700195121,1
27,4.304777924,-2.826999888,8.755253024,-9.899966966,1
28,4.21535169,-3.411643583,9.093467326,-9.327392427,1
29,3.584704242,-2.583226131,9.382715072,-9.137507408,1
30,2.653724199,-3.31254914,8.93166842,-9.400901361,1
31,2.305643301,-2.721698195,9.139271783,-8.57324254,1
32,0.65982575,-6.357025834,8.326514633,-8.679735122,1
33,2.882815428,-3.630784831,9.531840882,-8.132009262,1
34,2.925535817,-2.547218372,8.826379986,-9.167132839,1
35,4.111626561,-2.801198059,9.633673313,-8.318540025,1
36,0.543684976,-2.495654876,9.626568014,-10.10957737,1
37,2.569000939,-3.957444648,9.499401895,-9.161684409,1
38,3.218354683,-4.487905788,8.77611872,-8.212691963,1
39,1.923894389,-3.522574705,7.852351655,-9.865632241,1
40,1.87508975,-4.23186893,9.166124852,-8.400587004,1
41,2.887247919,-5.516588155,8.752127377,-8.693112693,1
42,3.778236742,-4.553591655,7.981524755,-9.379701996,1
43,2.214457096,-2.662022043,8.088834191,-9.326759112,1
44,2.125798987,-3.22000835,6.848798049,-9.433373154,1
45,2.888098227,-3.899459484,8.263463084,-9.215138595,1
46,2.926090933,-5.090805368,9.251321493,-7.370222929,1
47,2.195045339,-4.144757726,10.19072967,-8.686994886,1
48,1.194802616,-3.964595878,10.22133345,-7.91024203,1
49,2.79194138,-4.999929663,8.099922659,-9.265442523,1
50,3.552624981,NA,7.700374486,-8.659472084,1
51,2.600684295,-2.910238045,7.953268534,-10.51982807,1
52,3.197118516,-4.576893509,9.797298291,-8.56108842,1
53,1.895097205,-5.660740977,9.203877534,-8.493801309,1
54,2.788891495,-4.525492319,7.28500334,-7.252119329,1
55,2.000991021,-3.435354286,9.938975722,-9.825246362,1
56,3.467086484,-3.709841317,10.11522557,-9.397036512,1
57,3.598684224,-3.284510995,8.914491198,-8.356105191,1
58,1.345931319,-4.848011043,8.56912843,-8.240616211,1
59,3.44367266,-3.794804794,10.19342713,-11.49588491,1
60,3.31451855,-2.925942871,9.421609058,-10.98574641,1
