territorycode,netivcamt,standardized
East,0,-0.3181689
East,1,-0.317888039
East,1.64,-0.317708288
East,1.77,-0.317671777
East,2.04,-0.317595944
East,2.1,-0.317579092
East,2.16,-0.317562241
East,2.4,-0.317494834
East,2.61,-0.317435853
East,2.67,-0.317419002
East,3.71,-0.317126906
East,3.84,-0.317090394
East,3.88,-0.31707916
East,3.94,-0.317062308
East,4.08,-0.317022988
East,4.1,-0.317017371
East,4.22,-0.316983667
East,4.42,-0.316927495
East,4.5,-0.316905026
East,4.6,-0.31687694
East,4.65,-0.316862897
East,4.8,-0.316820768
East,4.82,-0.316815151
East,4.9,-0.316792682
East,5.02,-0.316758979
East,5.06,-0.316747744
East,5.2,-0.316708424
East,5.5,-0.316624165
East,5.6,-0.316596079
East,5.67,-0.316576419
East,5.8,-0.316539907
East,5.82,-0.31653429
East,5.88,-0.316517438
East,5.9,-0.316511821
East,5.94,-0.316500587
East,5.96,-0.316494969
East,6,-0.316483735
East,6.04,-0.316472501
East,6.1,-0.316455649
East,6.12,-0.316450032
East,6.2,-0.316427563
East,6.23,-0.316419137
East,6.25,-0.31641352
East,6.38,-0.316377008
East,6.4,-0.316371391
East,6.48,-0.316348922
East,6.54,-0.31633207
East,6.6,-0.316315218
East,6.82,-0.316253429
East,6.92,-0.316225343
East,7,-0.316202874
East,7.04,-0.31619164
East,7.05,-0.316188831
East,7.1,-0.316174788
East,7.14,-0.316163554
East,7.18,-0.316152319
East,7.2,-0.316146702
East,7.39,-0.316093338
East,7.4,-0.31609053
East,7.44,-0.316079295
East,7.49,-0.316065252
East,7.5,-0.316062444
East,7.6,-0.316034358
East,7.64,-0.316023123
East,7.65,-0.316020314
East,7.7,-0.316006271
East,7.77,-0.315986611
East,7.8,-0.315978185
East,7.81,-0.315975377
East,7.9,-0.315950099
East,7.98,-0.31592763
East,8,-0.315922013
East,8.19,-0.31586865
East,8.2,-0.315865841
East,8.36,-0.315820903
East,8.37,-0.315818095
East,8.38,-0.315815286
East,8.4,-0.315809669
East,8.5,-0.315781583
East,8.6,-0.315753497
East,8.7,-0.315725411
East,8.8,-0.315697324
East,8.85,-0.315683281
East,9,-0.315641152
East,9.1,-0.315613066
East,9.11,-0.315610258
East,9.2,-0.31558498
East,9.24,-0.315573746
East,9.3,-0.315556894
East,9.6,-0.315472636
East,9.68,-0.315450167
East,9.7,-0.31544455
East,9.73,-0.315436124
East,9.8,-0.315416464
East,9.88,-0.315393995
East,9.9,-0.315388377
East,10,-0.315360291
East,10.08,-0.315337822
East,10.1,-0.315332205
East,10.12,-0.315326588
East,10.14,-0.315320971
East,10.2,-0.315304119
East,10.22,-0.315298502
East,10.3,-0.315276033
East,10.4,-0.315247947
East,10.44,-0.315236713
East,10.52,-0.315214244
East,10.56,-0.315203009
East,10.64,-0.31518054
East,10.76,-0.315146837
East,10.89,-0.315110325
East,11,-0.31507943
East,11.02,-0.315073813
East,11.1,-0.315051344
East,11.11,-0.315048536
East,11.22,-0.315017641
East,11.25,-0.315009215
East,11.33,-0.314986746
East,11.34,-0.314983938
East,11.4,-0.314967086
East,11.42,-0.314961469
East,11.5,-0.314939
East,11.52,-0.314933383
East,11.6,-0.314910914
East,11.66,-0.314894062
East,11.7,-0.314882828
East,11.73,-0.314874402
East,11.8,-0.314854742
East,11.82,-0.314849125
East,11.84,-0.314843507
East,11.94,-0.314815421
East,11.99,-0.314801378
East,12,-0.31479857
East,12.1,-0.314770483
East,12.13,-0.314762058
East,12.2,-0.314742397
East,12.21,-0.314739589
East,12.24,-0.314731163
East,12.3,-0.314714311
East,12.32,-0.314708694
East,12.36,-0.31469746
East,12.4,-0.314686225
East,12.48,-0.314663756
East,12.5,-0.314658139
East,12.7,-0.314601967
East,12.72,-0.31459635
East,12.75,-0.314587924
East,12.76,-0.314585115
East,12.8,-0.314573881
East,12.86,-0.314557029
East,12.91,-0.314542986
East,12.96,-0.314528943
East,13,-0.314517709
East,13.08,-0.31449524
East,13.1,-0.314489623
East,13.2,-0.314461536
East,13.28,-0.314439068
East,13.3,-0.31443345
East,13.4,-0.314405364
East,13.5,-0.314377278
East,13.58,-0.314354809
East,13.6,-0.314349192
East,13.68,-0.314326723
East,13.7,-0.314321106
East,13.8,-0.31429302
East,13.83,-0.314284594
East,13.88,-0.314270551
